result
l
l
w
l
l
d
w
w
l
l
w
l
w
w
w
w
d
l
d
w
l
l
l
d
d
w
d
w
w
l
d
w
l
w
l
l
l
w
w
w
w
d
d
w
l
l
l
w
l
l
l
l
w
l
w
l
d
l
l
w
l
l
w
l
w
w
w
l
l
l
w
w
d
w
d
w
w
d
d
l
d
w
w
d
l
w
l
l
l
w
l
l
d
d
l
w
w
w
l
l
w
d
l
l
d
l
d
d
d
w
w
l
l
l
l
w
l
w
w
l
d
d
l
l
l
d
w
l
l
w
w
w
d
l
w
l
w
d
w
l
l
l
w
l
w
l
w
l
w
l
w
d
l
w
w
l
l
l
w
l
w
l
d
w
d
d
d
w
w
l
l
w
d
w
l
w
d
w
l
l
d
w
l
d
d
w
w
l
w
w
l
w
d
w
l
d
l
l
l
d
d
d
d
d
d
d
w
w
w
l
l
w
w
w
d
d
l
d
l
w
d
w
l
l
l
l
d
l
w
l
l
w
l
w
l
l
l
d
d
l
l
w
l
w
w
l
w
d
w
l
w
d
w
w
w
w
l
w
d
w
d
d
w
w
w
w
l
l
w
l
d
l
d
l
w
w
l
d
l
d
w
w
w
l
w
w
w
l
w
d
w
w
d
l
w
w
w
d
d
w
w
l
d
l
d
w
l
l
d
w
l
w
d
w
l
w
d
l
d
w
d
w
d
w
w
w
w
w
d
w
l
l
w
l
w
w
d
l
l
d
d
w
l
w
l
l
w
w
w
w
w
w
w
d
w
w
l
l
l
d
d
l
d
w
d
l
l
l
l
w
w
w
d
w
w
l
l
d
w
w
w
l
l
w
l
w
d
w
d
d
w
w
l
w
d
w
d
d
w
d
w
d
l
w
l
w
l
l
l
w
l
w
d
d
d
w
l
l
l
w
d
d
w
l
l
d
w
w
w
d
w
l
d
d
d
l
l
l
d
w
l
l
w
l
l
w
d
l
d
w
l
w
w
w
w
w
w
w
w
w
w
l
w
l
w
w
w
l
w
l
w
w
l
w
d
l
d
d
d
w
l
d
d
l
l
l
w
d
d
l
l
l
w
w
d
w
d
d
d
l
w
l
d
w
l
l
d
w
d
l
d
l
w
w
l
w
w
l
w
w
l
w
w
d
l
w
d
w
w
l
l
w
w
d
w
d
w
w
w
d
d
l
l
w
d
w
d
d
d
d
d
d
l
w
w
d
l
l
w
l
l
l
l
d
l
d
l
d
l
w
w
d
l
l
l
d
w
l
d
d
w
d
w
w
l
w
l
w
l
l
d
w
l
l
d
l
w
w
l
d
l
l
l
d
w
l
l
l
w
w
d
w
l
d
w
d
w
d
