league,year,h_a,xG,xGA,deep,deep_allowed,ppda_coef,oppda_coef
La_liga,2015,h,1.39018,1.1262,2,4,8.38888888888889,7.451612903225806
Bundesliga,2014,a,2.58299,1.17797,5,11,23.058823529411764,4.870967741935484
EPL,2018,a,1.1185,0.62283,7,12,17.863636363636363,16.583333333333332
EPL,2019,h,1.25927,0.51428,8,5,4.842105263157895,32.3
Ligue_1,2016,a,2.87717,1.67479,9,6,11.523809523809524,14.409090909090908
Serie_A,2016,a,1.12104,1.76933,5,9,10.108108108108109,13.863636363636363
Ligue_1,2017,h,1.91993,0.638394,3,5,7.857142857142857,10.5
Serie_A,2019,h,1.16664,2.75706,8,9,13.428571428571429,7.103448275862069
Bundesliga,2019,h,3.59033,1.35488,11,3,8.038461538461538,17.17391304347826
Bundesliga,2015,a,1.92244,2.84575,2,6,10.642857142857142,9.4375
Bundesliga,2016,a,1.69998,1.0584,7,3,10.125,14.0
La_liga,2014,h,0.670229,2.52542,6,8,6.708333333333333,5.157894736842105
Bundesliga,2017,h,2.40074,1.4853,10,2,9.136363636363637,11.1
EPL,2014,h,2.00193,1.2791,12,2,5.956521739130435,14.333333333333334
Ligue_1,2014,a,3.62665,0.383029,7,2,8.125,9.323529411764708
La_liga,2016,h,2.12281,0.418478,2,1,15.142857142857142,5.789473684210527
Serie_A,2019,a,1.42319,1.28069,4,7,7.190476190476191,28.529411764705884
Ligue_1,2016,a,1.4815,2.07131,1,5,7.303030303030303,4.951219512195122
EPL,2017,h,1.58397,0.703096,11,5,8.333333333333334,14.095238095238097
La_liga,2016,a,0.584488,0.544707,6,8,6.958333333333333,5.239130434782608
La_liga,2014,h,2.22601,0.29812,6,3,3.972972972972973,8.53125
EPL,2014,h,0.891768,0.299792,19,4,3.466666666666667,27.166666666666668
Serie_A,2014,a,0.324559,1.99657,7,6,10.607142857142858,8.241379310344827
Bundesliga,2017,h,1.03725,1.66037,9,7,8.483870967741936,6.0285714285714285
Ligue_1,2018,a,0.189011,1.23552,0,4,16.791666666666668,8.928571428571429
Bundesliga,2017,h,0.9886,1.0854,3,5,10.387096774193548,8.590909090909092
Ligue_1,2018,a,0.348658,0.477339,6,6,8.823529411764707,12.095238095238097
La_liga,2019,h,0.265811,0.454246,4,2,7.0,5.421052631578948
EPL,2016,h,1.67352,1.1469,7,5,5.04,10.375
Ligue_1,2017,h,0.279353,0.314602,1,2,12.772727272727272,10.675
Serie_A,2016,h,0.16672,0.614088,0,4,9.228571428571428,11.137931034482758
La_liga,2014,a,0.533056,2.14869,0,8,30.454545454545453,8.105263157894736
Bundesliga,2015,a,1.0738,0.863815,9,2,6.448979591836735,17.666666666666668
Ligue_1,2015,a,0.571402,2.07953,2,7,15.366666666666667,12.586206896551724
